,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
36829,445,O,Enterpreneurial Activities,1,Male,61,Married,Employer in own family-operated farm or business,Extended Family,5,2,0,0,Single house,Strong,150,5,4,1,2347698,144179,30325,22226,25980,8622,3863,6728,25000,4316,543,13480,181722,120000,56245,115968,6000,0,103644,65000,950498,1884858,1,1,1,1,0,2,4,0,2,2,0,0,1
39822,67,Q,Other sources of Income,0,Male,66,Married,Self-employed wihout any employee,Single Family,3,0,0,1,Single house,Very Light,65,53,2,1,2334862,133782,17159,6760,26164,13507,4216,6815,35660,4080,0,28835,134376,102000,69744,19032,18882,0,27108,27300,0,113500,2,0,1,1,1,1,0,1,3,1,1,0,1
38484,851,P,Other sources of Income,0,Male,61,Married,Employer in own family-operated farm or business,Extended Family,6,1,0,0,Single house,Strong,150,28,3,1,2323610,196829,41917,24080,27014,31237,7367,9018,37420,0,4978,46852,103560,75000,111162,222366,9078,1960,62910,37650,0,331182,1,2,1,1,1,1,1,0,3,1,1,0,2
38743,1110,P,Other sources of Income,0,Male,63,Married,,Single Family,2,0,0,0,Single house,Strong,59,36,3,1,2317700,67207,16462,12272,4824,15989,4090,2395,15100,1466,0,6779,64512,30000,1700,22236,1356,0,6702,20000,0,0,2,0,0,1,1,0,1,0,1,1,1,0,0
36000,3746,N,Wage/Salaries,2,Male,57,Married,Worked for private establishment,Single Family,8,0,1,3,Single house,Strong,200,23,6,1,2317290,512724,48803,40352,33022,27656,11516,15524,343933,207,0,46245,586080,390000,1233,834996,39294,457980,102036,15000,0,343200,1,1,1,1,1,4,4,0,8,2,0,0,0
36072,3818,N,Wage/Salaries,2,Male,73,Married,,Single Family,6,0,0,3,Multi-unit residential,Strong,60,16,3,1,2292000,407543,41034,36000,44790,13390,7500,9390,210300,0,43440,35313,245760,180000,24540,117894,87600,0,82692,20000,0,0,2,1,0,1,0,2,1,0,4,3,0,0,0
37250,866,O,Enterpreneurial Activities,0,Male,58,Married,Employer in own family-operated farm or business,Single Family,2,0,0,0,Single house,Strong,40,15,2,1,2275298,181781,32629,19367,20670,16927,18937,14325,19070,0,0,4864,95118,0,447,222204,57600,410000,28764,3000,0,2235880,2,0,0,1,0,1,1,0,3,1,1,0,0
35604,3350,N,Wage/Salaries,2,Male,58,Married,Self-employed wihout any employee,Extended Family,9,1,0,2,Multi-unit residential,Strong,100,20,2,1,2271120,354510,50699,35023,36241,19945,8531,11926,145840,6384,21720,17812,269760,210000,90402,212454,42036,46500,78774,9800,0,676200,2,1,1,1,1,0,1,1,5,2,0,0,0
35517,3263,N,Enterpreneurial Activities,2,Male,53,Married,Employer in own family-operated farm or business,Single Family,4,0,0,0,Single house,Strong,200,13,3,1,2268660,213449,23224,14784,26137,15323,4489,5184,112340,0,0,19740,478554,390000,6229,82074,31776,0,34026,15000,0,1650660,3,2,1,2,1,3,2,1,2,2,1,0,0
11663,586,F,Other sources of Income,0,Female,52,Married,,Extended Family,6,0,0,0,Single house,Strong,80,25,4,1,2265130,179923,28957,14280,24073,16249,2300,9120,56000,0,0,32910,166956,78000,12292,62220,26292,127100,30672,5500,0,0,2,2,1,1,1,1,1,1,5,2,0,0,0
35741,3487,N,Wage/Salaries,2,Male,69,Married,Worked with pay in own family-operated farm or business,Single Family,3,0,0,3,Single house,Strong,250,30,4,1,2246000,148271,22022,17105,13855,1776,14080,2540,69000,0,0,30100,149658,120000,19846,120036,28560,0,51594,0,0,0,2,1,0,1,1,3,2,1,3,1,1,0,0
19996,3463,H,Enterpreneurial Activities,0,Male,45,Married,Self-employed wihout any employee,Single Family,5,0,2,0,Single house,Strong,100,15,5,1,2245160,484830,64572,44208,39646,53200,5753,18755,481600,0,0,87000,491700,300000,15790,157602,69894,192750,63042,45000,0,1814100,5,5,1,1,1,5,1,1,4,6,1,0,0
35981,3727,N,Enterpreneurial Activities,2,Male,48,Married,Self-employed wihout any employee,Single Family,1,0,0,0,Multi-unit residential,Strong,150,14,3,1,2243037,111400,17122,3250,17567,8774,6075,1968,38300,162,0,27349,114918,0,6295,56448,7800,0,22602,2000,0,2238698,1,1,1,1,1,1,1,0,1,1,0,0,0
15319,1005,G,Enterpreneurial Activities,1,Male,51,Married,Employer in own family-operated farm or business,Two or More Nonrelated Persons/Members,6,0,0,5,Single house,Strong,120,22,5,1,2231340,339768,39400,28200,132142,34720,33945,10002,42240,9334,10860,53835,109140,27000,11503,61110,38400,0,133200,31000,1331340,1331340,4,2,2,2,3,3,2,0,0,5,1,0,4
16767,234,H,Other sources of Income,0,Male,63,Married,Self-employed wihout any employee,Single Family,3,0,0,0,Single house,Strong,200,15,5,1,2226450,259035,28120,15750,35818,29004,6990,14420,116800,4748,0,51300,201720,150000,28704,117600,33570,0,47718,80000,530000,1074400,3,1,1,2,1,4,3,1,3,1,1,0,0
20342,3809,H,Wage/Salaries,0,Male,48,Married,Worked for private establishment,Extended Family,4,0,1,2,Single house,Strong,600,16,5,1,2216500,289148,37295,13380,22176,15998,13388,13106,135127,0,0,49950,476760,330000,14400,204000,59388,265000,60312,19500,0,0,5,4,1,1,1,3,4,1,5,3,1,0,0
33689,1435,N,Enterpreneurial Activities,2,Female,58,Divorced/Separated,,Single Family,4,0,0,3,Single house,Strong,180,26,6,1,2192050,160137,26822,11100,26134,11524,5107,4835,53300,1079,2715,15200,353466,300000,87000,98370,61794,0,31692,4000,0,987050,3,2,0,1,1,2,2,0,4,3,1,0,0
39718,2085,P,Enterpreneurial Activities,2,Male,62,Married,Employer in own family-operated farm or business,Single Family,5,0,3,0,Single house,Strong,450,1,4,1,2176560,209107,50182,22722,21932,24530,19000,4315,41450,1250,0,88143,1080696,1020000,10706,204888,41472,289098,272592,65500,0,1086000,3,3,2,1,2,4,3,1,8,5,1,0,2
33797,1543,N,Wage/Salaries,2,Male,45,Married,Worked for private establishment,Extended Family,6,0,2,2,Single house,Strong,220,42,8,1,2174130,330216,51348,27300,43508,18040,11876,10450,123452,0,10860,47050,912300,810000,4624,189000,49794,83000,49524,15000,0,324130,2,1,1,1,1,1,2,1,6,2,1,0,0
28843,1274,L,Wage/Salaries,0,Male,50,Married,Worked for government/government corporation,Two or More Nonrelated Persons/Members,3,0,0,2,Single house,Strong,251,10,3,1,2162240,356258,74682,29800,140992,46080,4530,13400,17900,150,0,45601,204810,150000,14215,87960,19794,498178,72720,42000,0,0,2,1,1,1,2,1,1,1,5,4,1,0,1
26027,904,K,Wage/Salaries,0,Male,79,Married,Worked for private establishment,Extended Family,7,1,0,5,Single house,Strong,47,47,4,1,2155298,369299,46792,29700,58183,35527,7896,6061,181360,904,32580,42239,272976,120000,1049275,240906,38202,6520,146160,30000,0,0,5,3,1,1,1,4,2,1,0,4,1,0,0
27663,94,L,Enterpreneurial Activities,0,Male,43,Married,Worked for government/government corporation,Single Family,5,0,3,1,Single house,Strong,150,11,4,1,2152577,151896,52651,24065,31317,25097,2435,6106,1900,600,1404,28391,54906,27000,5436,70104,2640,72908,27312,146210,0,2090998,1,1,1,1,0,0,0,0,4,0,1,0,3
34696,2442,N,Other sources of Income,2,Male,56,Married,Employer in own family-operated farm or business,Single Family,7,0,1,5,Single house,Strong,180,10,2,1,2141586,435562,62803,20624,43622,37065,20020,11891,155660,3807,11403,89488,93648,42000,25028,284790,85194,33700,126402,62000,0,654200,3,2,1,1,1,1,2,1,7,5,1,0,2
35505,3251,N,Wage/Salaries,2,Male,50,Married,Worked for government/government corporation,Single Family,6,0,1,5,Single house,Strong,100,70,3,1,2132219,343941,25311,10785,62182,38500,14580,13350,138800,7250,0,62310,412440,270000,13662,69984,36780,101600,112002,30500,0,0,2,0,0,1,1,3,2,1,6,6,1,0,0
20335,3802,H,Wage/Salaries,0,Male,60,Married,Worked for government/government corporation,Single Family,5,0,0,4,Single house,Strong,240,20,5,1,2131980,383038,28156,23350,61800,25040,15870,20565,193502,0,0,15300,421350,258000,26623,99252,37794,80000,98124,6000,0,46000,1,1,1,3,1,4,1,1,6,4,1,0,0
11742,665,F,Wage/Salaries,0,Male,65,Married,,Extended Family,9,2,1,4,Single house,Strong,100,33,6,1,2116772,330571,48441,26516,58525,30338,5190,12079,102160,732,0,42220,216300,84000,136381,108534,36594,9850,91416,7150,0,0,3,3,0,1,1,4,1,1,6,3,0,0,0
38343,710,P,Other sources of Income,0,Male,62,Widowed,Worked for government/government corporation,Single Family,5,0,2,3,Single house,Strong,48,19,3,1,2110675,128022,30466,22129,18154,15388,4227,4074,30656,1140,0,12344,92658,45000,5607,76146,20538,17660,37800,14760,0,0,2,1,1,1,1,2,1,0,5,2,1,0,1
631,632,A,Wage/Salaries,0,Male,61,Married,Worked for government/government corporation,Extended Family,5,1,0,3,Single house,Strong,520,45,6,1,2096620,254622,72034,59040,24091,27401,11536,12679,68455,1705,900,45150,595356,552000,11875,147660,41040,14300,237198,53150,50000,133000,1,1,2,3,2,0,3,1,4,4,2,0,1
33981,1727,N,Other sources of Income,2,Male,66,Married,Self-employed wihout any employee,Extended Family,6,0,1,1,Single house,Strong,300,14,6,1,2096000,251905,44302,27470,43596,14528,11671,12370,64250,0,0,8420,523230,420000,30000,55500,40794,55000,33600,16000,0,120000,4,0,0,2,1,4,2,1,4,1,1,0,0
33664,1410,N,Wage/Salaries,2,Male,64,Married,Self-employed wihout any employee,Extended Family,7,1,0,6,Single house,Strong,32,20,1,1,2093500,271145,37067,24300,28072,16528,5731,6685,150910,15110,10860,42465,217188,96000,9250,123948,59394,0,72738,8000,0,711000,3,1,1,4,2,2,2,1,8,3,2,0,1
31621,1715,M,Other sources of Income,0,Male,66,Married,Employer in own family-operated farm or business,Single Family,3,0,0,0,Single house,Strong,80,37,2,1,2090853,77511,29532,24224,15730,14010,2615,5113,0,1216,4836,4285,40626,24000,180,2760,1872,0,4446,5000,34713,55493,1,1,1,1,1,0,0,0,1,0,0,0,0
35409,3155,N,Wage/Salaries,2,Male,66,Married,Worked for private establishment,Extended Family,7,1,0,5,Single house,Strong,150,25,7,1,2089931,390989,58956,36787,36136,37342,6550,7260,189300,3272,600,17175,363240,180000,5226,98070,57588,0,115842,6500,0,0,1,1,1,1,1,3,3,1,5,2,1,0,0
34572,2318,N,Enterpreneurial Activities,2,Male,54,Married,Employer in own family-operated farm or business,Extended Family,6,2,0,0,Single house,Strong,90,25,2,1,2088700,317458,54076,28250,65168,20106,15835,13638,49640,0,0,16825,118038,60000,77548,26478,46656,0,53874,22750,0,1821200,2,1,1,2,1,2,2,1,2,4,1,0,0
35806,3552,N,Other sources of Income,2,Female,46,Married,Self-employed wihout any employee,Single Family,3,0,2,0,Single house,Strong,200,25,3,1,2074080,210831,25724,11453,11419,22379,3160,2608,111740,0,0,28063,157254,84000,5928,29394,101982,166500,52914,0,0,55700,2,1,1,1,1,2,0,0,4,2,0,0,0
33996,1742,N,Enterpreneurial Activities,2,Female,61,Divorced/Separated,Employer in own family-operated farm or business,Extended Family,5,1,0,2,Single house,Strong,300,17,5,1,2064100,257698,33944,23170,62256,28300,11805,10372,48600,510,3120,4200,594600,330000,22355,88998,81000,0,63828,26000,0,885700,6,2,1,4,2,5,5,2,4,1,1,0,0
29855,2286,L,Wage/Salaries,2,Male,54,Married,Worked for government/government corporation,Single Family,2,0,0,2,Single house,Strong,150,29,4,1,2063107,100660,8520,5709,17908,35404,3812,4597,18260,1265,0,12359,409704,312000,50378,63354,26430,42442,242274,5000,10150,76298,4,1,1,2,1,1,1,0,4,2,1,0,1
4626,1120,C,Enterpreneurial Activities,0,Male,59,Married,Self-employed wihout any employee,Extended Family,6,0,1,2,Single house,Strong,68,30,3,1,2060972,196604,47844,28960,27872,17260,4520,8100,60800,0,3620,38588,107700,36000,2000,29724,25188,32100,42594,15000,0,1351252,2,1,0,1,1,0,0,1,4,4,2,0,0
35162,2908,N,Wage/Salaries,2,Male,56,Married,Worked for private establishment,Extended Family,9,2,1,3,Single house,Strong,340,25,4,1,2057796,330791,42295,30942,48316,15126,11158,12974,133680,3738,21720,26840,402480,270000,42055,57906,61500,20700,59832,25300,0,0,4,3,1,3,2,3,2,1,6,2,1,0,0
37525,1141,O,Enterpreneurial Activities,0,Male,61,Married,Worked for government/government corporation,Two or More Nonrelated Persons/Members,7,0,2,3,Single house,Strong,120,27,4,1,2036681,317660,57003,33276,31614,26178,14730,44965,70200,3765,0,17330,138180,90000,143000,27948,10440,10000,166806,0,99365,1024365,1,1,1,1,0,4,1,0,4,1,1,0,3
5098,1592,C,Other sources of Income,0,Female,72,Widowed,,Extended Family,9,1,3,0,Single house,Strong,160,15,4,1,2030200,178277,50046,34980,36358,22364,10194,5695,13000,0,0,14054,150420,120000,2136,48480,12900,35000,28542,30000,55000,55000,1,1,0,1,1,1,0,0,4,2,1,0,0
14576,262,G,Enterpreneurial Activities,0,Male,73,Married,Employer in own family-operated farm or business,Single Family,5,0,0,2,Single house,Strong,252,25,6,1,2029943,191472,101291,97110,16950,18138,6020,9018,9000,0,3620,33060,128748,90000,336306,33504,17400,0,19740,0,0,1601000,3,0,0,2,0,2,2,0,3,1,0,0,1
38242,609,P,Enterpreneurial Activities,0,Male,44,Married,Employer in own family-operated farm or business,Extended Family,5,0,2,2,Single house,Strong,30,13,3,1,2028717,303506,127164,121200,67496,34960,2000,12881,29567,2340,3380,6229,33282,7200,22000,48396,27180,47800,37362,35000,360,1674840,3,1,2,1,1,1,1,0,4,2,0,0,1
27204,2081,K,Wage/Salaries,0,Male,59,Married,Worked for government/government corporation,Single Family,6,0,0,6,Single house,Strong,80,42,4,1,2028088,317836,30063,26290,30692,34422,14047,14099,146680,0,0,30020,100176,27000,30186,69744,64506,0,162912,30000,0,0,2,0,0,1,1,2,1,0,10,4,1,0,1
33885,1631,N,Wage/Salaries,2,Male,49,Married,Worked for private establishment,Single Family,7,0,2,2,Single house,Strong,300,15,4,1,2025185,284945,39204,30000,34554,14778,4554,11723,144670,0,0,12280,244932,0,12923,97158,24900,306880,39576,4500,0,0,2,1,1,1,1,2,1,1,6,3,1,0,0
38676,1043,P,Other sources of Income,0,Female,33,Married,Worked for government/government corporation,Extended Family,3,0,2,1,Single house,Strong,80,17,2,1,2024094,115225,19075,16710,11357,14199,1096,1991,35580,1200,0,9633,90030,42000,9654,38670,14640,56800,76122,67500,0,0,2,1,1,1,1,2,1,1,3,2,1,0,0
14823,509,G,Wage/Salaries,0,Male,54,Married,Worked for government/government corporation,Single Family,4,0,1,2,Single house,Strong,35,29,3,1,2014125,168860,21898,11880,48210,29998,7815,12714,22150,0,0,11780,37062,9000,2520,10044,8400,1975,37716,5000,497570,543020,2,0,0,1,1,0,0,0,4,0,0,0,2
25616,493,K,Other sources of Income,0,Female,39,Married,Worked for government/government corporation,Extended Family,6,0,2,2,Single house,Strong,80,15,3,1,2008980,202613,46374,28565,34305,17402,13782,10393,32242,1890,0,29608,161076,120000,12140,98346,16512,71640,81660,17600,355980,355980,2,1,1,1,0,2,1,1,7,3,1,0,0
12094,1017,F,Wage/Salaries,0,Female,56,Divorced/Separated,Worked for private establishment,Extended Family,5,1,0,4,Single house,Strong,80,23,3,1,1984838,191680,47890,33544,29740,17624,7026,8203,44104,420,30770,47754,335574,57000,4086,114498,35208,4500,73530,230,0,0,1,1,0,1,1,0,1,1,6,2,1,0,0
40145,390,Q,Wage/Salaries,0,Male,57,Married,Worked for government/government corporation,Extended Family,6,1,0,2,Single house,Strong,100,15,5,1,1981267,300176,59944,14088,14363,9948,3701,3655,131200,391,0,29500,331830,210000,74510,165702,51060,53470,148026,82000,0,732640,3,1,1,2,0,3,3,1,5,4,1,0,1
33686,1432,N,Wage/Salaries,2,Male,49,Married,Worked for private establishment,Single Family,5,0,3,2,Single house,Strong,150,15,4,1,1980000,134080,29408,15300,38659,15712,5665,5961,33500,0,0,31728,440640,300000,23400,133998,58920,155000,42282,50000,0,0,3,2,0,1,1,3,2,0,3,3,0,0,0
16615,82,H,Wage/Salaries,0,Male,58,Married,Worked for private establishment,Single Family,6,0,0,3,Single house,Strong,120,28,3,1,1975400,365391,35832,18000,58098,38200,26017,9848,149250,0,0,32320,378918,162000,22780,282000,44400,344400,154242,30000,0,116800,6,2,1,2,1,4,3,3,6,6,1,0,1
31786,1880,M,Enterpreneurial Activities,0,Male,49,Married,Worked for government/government corporation,Extended Family,9,0,4,1,Single house,Strong,100,17,4,1,1970940,312365,61874,48380,64004,30931,10515,14690,72170,7176,14480,36332,113280,42000,13132,97236,38940,96900,54906,63000,318200,1841200,4,3,0,2,1,3,2,0,6,3,1,1,4
6176,2670,C,Wage/Salaries,0,Male,60,Married,Self-employed wihout any employee,Single Family,2,0,0,1,Single house,Strong,80,30,5,1,1960176,185263,26530,17780,16431,41187,16905,9369,33370,0,0,43618,228690,120000,21640,115044,54588,0,182184,15000,0,776000,4,1,1,1,1,4,2,1,2,2,1,0,0
14198,3121,F,Other sources of Income,0,Female,40,Married,Employer in own family-operated farm or business,Single Family,3,0,1,0,Single house,Strong,120,12,3,1,1959800,220340,37917,17966,74926,26270,4990,14253,36102,750,0,11780,224748,90000,1798,28314,20820,81360,70536,22000,266296,518546,2,1,0,1,1,1,1,0,8,2,0,0,3
5310,1804,C,Enterpreneurial Activities,0,Female,69,Widowed,Worked for private establishment,Single Family,1,0,0,1,Single house,Strong,280,30,4,1,1955231,125150,14759,9065,13403,15982,6522,11429,35000,0,0,5329,180348,120000,27980,45204,23400,0,32400,0,0,1588000,3,1,0,1,0,1,2,1,1,1,1,0,0
33656,1402,N,Wage/Salaries,2,Male,82,Married,,Extended Family,8,0,0,5,Single house,Strong,120,35,5,1,1949406,301575,37810,29790,28937,20627,10175,4810,161100,2184,0,15194,489240,420000,21752,98418,57582,70000,48828,5000,0,346806,1,1,1,1,1,1,1,1,6,1,1,0,0
34751,2497,N,Wage/Salaries,2,Male,58,Married,Worked for private establishment,Extended Family,9,1,1,6,Single house,Strong,150,43,4,1,1948000,503189,54129,29950,61951,30858,11630,8726,257542,3640,3801,30982,137418,63000,24745,129960,37794,51800,102978,48500,0,0,3,2,1,2,1,1,2,0,7,2,1,0,0
35601,3347,N,Wage/Salaries,2,Male,63,Married,,Single Family,4,0,0,2,Duplex,Strong,20,15,2,1,1947139,257702,23247,14933,9092,5270,12042,4413,136290,5656,2715,22800,275520,90000,37840,17340,27690,0,111852,475,0,0,1,1,0,1,1,1,0,1,3,2,1,0,0
31373,1467,M,Enterpreneurial Activities,0,Male,59,Married,Employer in own family-operated farm or business,Extended Family,14,3,1,2,Single house,Strong,110,22,5,1,1944930,252261,54131,47480,44506,18050,7825,7461,51000,195,0,48800,172020,120000,7716,64518,37200,45300,50094,3000,0,1716000,2,1,0,1,1,4,5,1,8,4,1,0,0
19157,2624,H,Wage/Salaries,0,Female,60,Married,,Extended Family,9,1,1,7,Single house,Strong,120,34,3,1,1936110,458885,65234,34973,44437,34027,18538,12605,231400,1950,2080,15008,151962,48000,605,188178,32400,45100,95052,10500,0,0,2,1,1,1,1,1,1,1,7,3,0,0,0
6630,273,D,Other sources of Income,0,Male,67,Married,,Single Family,7,0,3,1,Single house,Strong,30,19,2,1,1935306,142350,23501,12870,36092,17370,7385,10851,20140,740,0,12307,50280,36000,2707,13596,3000,87126,42132,20000,0,0,1,0,0,1,1,0,0,0,3,2,0,0,1
14204,3127,F,Enterpreneurial Activities,0,Male,44,Single,Employer in own family-operated farm or business,Single Family,1,0,0,0,Single house,Strong,80,47,2,1,1934038,46574,12153,8642,10090,9365,1980,4130,1475,3006,0,7530,75594,57000,29806,3756,7200,0,4656,9000,0,1390678,1,0,1,1,1,0,0,0,1,0,1,0,0
5756,2250,C,Enterpreneurial Activities,0,Male,50,Married,Employer in own family-operated farm or business,Single Family,5,0,1,0,Single house,Strong,130,8,2,1,1933678,306976,42631,28719,56647,34065,11580,30305,58520,18100,29684,40180,87540,42000,245825,130230,18690,60915,76164,80000,210000,1885198,2,2,2,1,2,2,5,1,5,1,0,0,2
5623,2117,C,Other sources of Income,0,Female,60,Widowed,,Extended Family,4,0,1,1,Single house,Strong,120,39,4,1,1928186,116622,30876,23000,21141,21750,2550,8190,8560,840,3258,11920,58320,21000,21810,17628,8100,2360,57396,23360,0,9300,2,1,1,1,1,1,0,0,4,1,1,0,1
21538,843,I,Enterpreneurial Activities,0,Female,46,Widowed,Self-employed wihout any employee,Two or More Nonrelated Persons/Members,9,1,1,0,Single house,Strong,300,10,4,1,1920480,191188,47288,39000,11930,3920,2040,3780,11040,0,0,14250,126240,84000,59390,26004,10800,102000,23028,100000,0,1551540,2,1,1,2,1,3,4,1,3,2,1,0,0
36200,3946,N,Wage/Salaries,2,Male,57,Married,Worked for private establishment,Single Family,5,0,0,3,Single house,Strong,135,29,3,1,1913184,237684,23088,5127,18511,23432,10340,19694,110523,10636,10860,36908,589614,450000,7576,140418,42390,0,69222,8570,0,167400,2,1,1,2,1,4,2,1,4,2,1,0,0
29127,1558,L,Enterpreneurial Activities,0,Male,53,Married,Worked without pay in own family-operated farm or business,Extended Family,5,0,3,0,Single house,Strong,220,8,3,1,1912524,244616,43294,27052,37700,40134,17390,15575,29000,6120,0,24695,363102,120000,17822,27240,4800,20550,54690,18200,66629,1569421,4,3,1,4,1,0,2,0,6,2,1,0,3
37963,330,P,Other sources of Income,0,Female,48,Married,Worked for government/government corporation,Single Family,8,0,2,3,Single house,Strong,70,15,4,1,1909348,197783,49973,42120,25214,16533,2256,11908,62700,2129,949,13845,190164,90000,6783,40794,30000,92490,39246,7000,0,0,2,0,0,1,1,2,2,1,5,2,1,0,2
